acres,areaname,agency
8531.88,Pacific,HABITAT AND PASSIVE RECREATION
1823,Pacific,AQ-DFW
16412.85,Pacific,FEDERAL
3595.41,Pend Oreille,HABITAT AND PASSIVE RECREATION
197.61,Pend Oreille,PARKS
586054.43,Pend Oreille,COUNTY-OWNER
14714.98,Pend Oreille,DNR AQUATIC
29771.32,Pend Oreille,REVENUE
40.56,Pend Oreille,OTHER PUBLIC
157.97,Pend Oreille,DEVELOPED RECREATION
2765.25,Pend Oreille,AQ-DFW
2765.25,Pend Oreille,COUNTY-ACQ
7287.85,Pend Oreille,CITY-COUNTY
530486.34,Pend Oreille,FEDERAL
586054.43,Pend Oreille,COUNTY-LANDUSE
3555.77,Pend Oreille,DFW
29811.88,Pend Oreille,DNR UPLANDS
552489.17,Pend Oreille,UNKNOWN
686.64,Pierce,DEVELOPED RECREATION
405239.4,Pierce,FEDERAL
506596.04,Pierce,UNKNOWN
546493.93,Pierce,COUNTY-OWNER
1383.61,Pierce,HABITAT AND PASSIVE RECREATION
73883.45,Pierce,DNR AQUATIC
2035.11,Pierce,PARKS
3108.77,Pierce,DFW
9848.46,Pierce,AQ-DNR
12817.37,Pierce,CONSERVATION
133.59,Pierce,OTHER PUBLIC
29.95,Pierce,AQ-DFW
34729.08,Pierce,DNR UPLANDS
543.92,Pierce,AQ-PARKS
10422.33,Pierce,COUNTY-ACQ
24876.68,Pierce,REVENUE
27498.12,Pierce,CITY-COUNTY
546493.93,Pierce,COUNTY-LANDUSE
133.99,San Juan,COUNTY-ACQ
12.52,San Juan,OTHER PUBLIC
1193.36,San Juan,DNR UPLANDS
6460.08,San Juan,PARKS
133.99,San Juan,AQ-PARKS
5808.38,San Juan,HABITAT AND PASSIVE RECREATION
1020.81,San Juan,REVENUE
154.66,San Juan,DFW
160.03,San Juan,CONSERVATION
298778.14,San Juan,COUNTY-OWNER
806.24,San Juan,DEVELOPED RECREATION
3081.43,San Juan,FEDERAL
290970.16,San Juan,UNKNOWN
298778.14,San Juan,COUNTY-LANDUSE
4650.76,San Juan,CITY-COUNTY
283237.85,San Juan,DNR AQUATIC
7886.62,Skagit,COUNTY-ACQ
140334.21,Skagit,DNR UPLANDS
151.48,Skagit,AQ-PARKS
3115.22,Skagit,PARKS
5630.8,Skagit,AQ-DNR
617868.73,Skagit,UNKNOWN
772078.07,Skagit,COUNTY-LANDUSE
715.77,Skagit,DEVELOPED RECREATION
11837.82,Skagit,HABITAT AND PASSIVE RECREATION
131899.16,Skagit,REVENUE
772078.07,Skagit,COUNTY-OWNER
14.49,Skagit,OTHER PUBLIC
90991.23,Skagit,DNR AQUATIC
502289.61,Skagit,FEDERAL
2104.34,Skagit,AQ-DFW
9742.1,Skagit,CONSERVATION
10878.79,Skagit,DFW
24469.01,Skagit,CITY-COUNTY
1082.89,Skamania,DEVELOPED RECREATION
89651.09,Skamania,DNR UPLANDS
9875.8,Skamania,DNR AQUATIC
13439.8,Skamania,CONSERVATION
860553.76,Skamania,UNKNOWN
61.21,Skamania,DFW
954721.61,Skamania,COUNTY-OWNER
6.24,Skamania,OTHER PUBLIC
2138.45,Skamania,CITY-COUNTY
3433.87,Skamania,HABITAT AND PASSIVE RECREATION
4456.25,Skamania,PARKS
10073.63,Skamania,COUNTY-ACQ
10064.83,Skamania,AQ-DNR
8.8,Skamania,AQ-PARKS
848538.81,Skamania,FEDERAL
954721.61,Skamania,COUNTY-LANDUSE
76205.05,Skamania,REVENUE
810.07,Snohomish,AQ-DFW
3981,Snohomish,HABITAT AND PASSIVE RECREATION
26513.59,Snohomish,AQ-DNR
57359.14,Snohomish,DNR AQUATIC
123081.23,Snohomish,REVENUE
164984.74,Snohomish,DNR UPLANDS
42064.99,Snohomish,CONSERVATION
642847.27,Snohomish,FEDERAL
27323.66,Snohomish,COUNTY-ACQ
41875.84,Snohomish,CITY-COUNTY
742082.61,Snohomish,UNKNOWN
16.74,Snohomish,OTHER PUBLIC
2257.11,Snohomish,DFW
913961.31,Snohomish,COUNTY-OWNER
2734.74,Snohomish,DEVELOPED RECREATION
4637.21,Snohomish,PARKS
913961.31,Snohomish,COUNTY-LANDUSE
5.26,Spokane,AQ-DNR
148.21,Spokane,AQ-PARKS
153,Spokane,OTHER PUBLIC
23774.69,Spokane,DNR UPLANDS
5,Spokane,AQ-DFW
158.47,Spokane,COUNTY-ACQ
168.9,Spokane,CONSERVATION
23457.8,Spokane,REVENUE
5178.66,Spokane,DEVELOPED RECREATION
6110.5,Spokane,DNR AQUATIC
22680.76,Spokane,PARKS
23482.12,Spokane,FEDERAL
61887.94,Spokane,UNKNOWN
108399.17,Spokane,COUNTY-LANDUSE
74.57,Spokane,DFW
17552.87,Spokane,HABITAT AND PASSIVE RECREATION
32276.53,Spokane,CITY-COUNTY
108399.17,Spokane,COUNTY-OWNER
289.46,Stevens,CONSERVATION
1805.76,Stevens,COUNTY-ACQ
162042.43,Stevens,DNR UPLANDS
290843.33,Stevens,UNKNOWN
160.63,Stevens,PARKS
3571.52,Stevens,CITY-COUNTY
453040.93,Stevens,COUNTY-OWNER
4127.33,Stevens,DNR AQUATIC
161620.89,Stevens,REVENUE
453040.93,Stevens,COUNTY-LANDUSE
132.08,Stevens,OTHER PUBLIC
283139.02,Stevens,FEDERAL
155.17,Stevens,HABITAT AND PASSIVE RECREATION
