acres,areaname,agency
17229.21,16,HABITAT AND PASSIVE RECREATION
6667.98,16,LEG-ACQ
22837.06,24,LEG-ACQ
45859.2,7,HABITAT AND PASSIVE RECREATION
534489.92,9,LEG-OWNER
295.62,31,DEVELOPED RECREATION
4315.7,1,LEG-OWNER
0,37,LEG-ACQ
2967,28,CONSERVATION
13.51,23,AQ-DNR
32792.62,38,UNKNOWN
0,36,LEG-ACQ
23618.8,14,CONSERVATION
0.15,36,REVENUE
1648.05,39,AQ-DFW
2034.81,42,HABITAT AND PASSIVE RECREATION
1611026.13,13,LEG-LANDUSE
1024.13,14,OTHER PUBLIC
2704.61,3,UNKNOWN
0,43,LEG-ACQ
4.67,48,AQ-PARKS
246.65,18,AQ-PARKS
11535.13,33,UNKNOWN
