acres,areaname,agency
135717.26,Upper Lake Roosevelt,WRIA-LANDUSE
163.6,Elwha-Dungeness,CONSERVATION
21.64,Deschutes,HABITAT AND PASSIVE RECREATION
7730.5,Puyallup-White,AQ-DNR
0.33,Esquatzel Coulee,AQ-PARKS
1438.41,Palouse,AQ-PARKS
6054.76,Stillaguamish,AQ-DNR
2559.34,Foster,WRIA-ACQ
191778.68,Lower Crab,WRIA-OWNER
450380.32,Queets-Quinault,UNKNOWN
31520.6,Duwamish-Green,AQ-DNR
15.15,Lower Snake,DEVELOPED RECREATION
97.61,Lower Crab,CONSERVATION
726753.52,Wenatchee,WRIA-OWNER
75981.84,Stillaguamish,REVENUE
109485.4,Queets-Quinault,REVENUE
277169.61,Stillaguamish,WRIA-LANDUSE
544676.43,Okanogan,WRIA-OWNER
0,Pend Oreille,WRIA-ACQ
10601.58,Little Spokane,UNKNOWN
1208.72,Colville,WRIA-ACQ
867,Little Spokane,DEVELOPED RECREATION
5298.88,Upper Skagit,CONSERVATION
5330.92,Wind-White Salmon,CONSERVATION
299.64,Kennedy-Goldsborough,OTHER PUBLIC
78921.57,Foster,WRIA-OWNER
66.43,Soleduc,HABITAT AND PASSIVE RECREATION
44383.38,Snohomish,WRIA-ACQ
170630.92,Upper Chehalis,WRIA-OWNER
157.38,Island,AQ-PARKS
191778.68,Lower Crab,WRIA-LANDUSE
66.78,Lower Spokane,DFW
126.98,Deschutes,PARKS
154.66,San Juan,DFW
232.65,Wind-White Salmon,DFW
267.21,Lower Yakima,PARKS
316.82,Lower Crab,PARKS
769.89,Upper Skagit,PARKS
1314.87,Methow,PARKS
1606.02,Nisqually,PARKS
1742.38,Methow,DNR AQUATIC
3177.96,Hangman,DNR UPLANDS
3760.09,Klickitat,CITY-COUNTY
3772.22,Foster,CITY-COUNTY
3929.15,Esquatzel Coulee,DFW
4511.24,Lewis,CITY-COUNTY
4552.43,Elwha-Dungeness,CITY-COUNTY
5051.73,Klickitat,PARKS
5826.35,Lower Spokane,CITY-COUNTY
6051.9,Skokomish-Dosewallips,CITY-COUNTY
6460.08,San Juan,PARKS
7037.51,Snohomish,PARKS
7191.11,Upper Skagit,DNR AQUATIC
8049.47,Okanogan,DNR AQUATIC
8535.24,Lower Snake,DNR AQUATIC
9097.78,Entiat,DNR UPLANDS
10962.18,Walla Walla,CITY-COUNTY
25594.1,Chambers-Clover,FEDERAL
34441.09,Cowlitz,CITY-COUNTY
35451.4,Duwamish-Green,CITY-COUNTY
50911.42,Salmon-Washougal,DNR UPLANDS
53942.79,Lower Skagit-Samish,DNR UPLANDS
80033.27,Stillaguamish,DNR UPLANDS
81115.83,Lower Crab,FEDERAL
106681.39,Cedar-Sammamish,CITY-COUNTY
139947.83,Quilcene-Snow,DNR AQUATIC
177179.12,Stillaguamish,FEDERAL
218850.84,Nooksack,DNR AQUATIC
283300.44,San Juan,DNR AQUATIC
2.25,Cowlitz,AQ-PARKS
327.52,Deschutes,WRIA-ACQ
45.9,Kettle,DEVELOPED RECREATION
595785.11,Chelan,UNKNOWN
4274.05,Kettle,HABITAT AND PASSIVE RECREATION
2508.51,Cowlitz,AQ-DNR
747169.16,Snohomish,WRIA-LANDUSE
5565.31,Lower Spokane,HABITAT AND PASSIVE RECREATION
157.97,Pend Oreille,DEVELOPED RECREATION
21.53,Snohomish,OTHER PUBLIC
4778.07,Alkali-Squilchuck,CONSERVATION
66274.84,Wind-White Salmon,REVENUE
544.74,Alkali-Squilchuck,DEVELOPED RECREATION
1987.94,Lower Snake,AQ-DNR
